audio_path,reference,Full Prediction,Quantized Prediction,Full Time (s),Quantized Time (s)
LibriSpeech\train-clean\19\198\19-198-0000.flac,NORTHANGER ABBEY,Northanger Abbey,Northanger Abbey,0.8500833995640278,0.6789818992838264
LibriSpeech\train-clean\19\198\19-198-0001.flac,THIS LITTLE WORK WAS FINISHED IN THE YEAR EIGHTEEN O THREE AND INTENDED FOR IMMEDIATE PUBLICATION IT WAS DISPOSED OF TO A BOOKSELLER IT WAS EVEN ADVERTISED,This little work was finished in the year 1803 and intended for immediate publication.  It was disposed of to a bookseller. It was even advertised.,This little work was finished in the year 1803 and intended for immediate publication.  It was disposed of to a bookseller. It was even advertised.,1.1817196998745203,0.7629688000306487
LibriSpeech\train-clean\19\198\19-198-0002.flac,NEITHER THE AUTHOR NOR THE PUBLIC HAVE ANY OTHER CONCERN THAN AS SOME OBSERVATION IS NECESSARY UPON THOSE PARTS OF THE WORK WHICH THIRTEEN YEARS HAVE MADE COMPARATIVELY OBSOLETE,Neither the author nor the public have any other concern that as some observation is necessary  upon those parts of the work which 13 years have made comparatively obsolete.,Neither the author nor the public have any other concern that as some observation is necessary upon those parts of the work which 13 years have made comparatively obsolete.,1.2487151995301247,0.6933161998167634
LibriSpeech\train-clean\19\198\19-198-0003.flac,THE PUBLIC ARE ENTREATED TO BEAR IN MIND THAT THIRTEEN YEARS HAVE PASSED SINCE IT WAS FINISHED MANY MORE SINCE IT WAS BEGUN AND THAT DURING THAT PERIOD PLACES MANNERS BOOKS AND OPINIONS HAVE UNDERGONE CONSIDERABLE CHANGES,"The public are untreated to bear in mind that 13 years have passed since it was finished.  Many more since it was begun, and that during that period, places, manners, books, and opinions  have undergone considerable changes.","The public are intruded to bear in mind that 13 years have passed since it was finished.  Many more since it was begun, and that during that period, places, manners, books, and opinions  have undergone considerable changes.",1.035131899639964,0.7541206004098058
LibriSpeech\train-clean\19\198\19-198-0004.flac,CHAPTER ONE NO ONE WHO HAD EVER SEEN CATHERINE MORLAND IN HER INFANCY WOULD HAVE SUPPOSED HER BORN TO BE AN HEROINE HER SITUATION IN LIFE,Chapter 1.  No one who had ever seen Catherine Moreland in her infancy would have supposed her  born to be a heroine.  Her situation in life.,Chapter 1.  No one who had ever seen Katharine Moreland in her infancy would have supposed her  born to be a heroine.  Her situation in life.,1.38987320009619,0.7146859997883439
LibriSpeech\train-clean\19\198\19-198-0005.flac,THE CHARACTER OF HER FATHER AND MOTHER HER OWN PERSON AND DISPOSITION WERE ALL EQUALLY AGAINST HER HER FATHER WAS A CLERGYMAN WITHOUT BEING NEGLECTED OR POOR AND A VERY RESPECTABLE MAN,"the character of her father and mother, her own person and disposition were all equally against her.  Her father was a clergyman without being neglected or poor and a very respectable man.","The character of her father and mother, her own person and disposition, were all equally  against her.  Her father was a clergyman without being neglected or poor, and a very respectable man.",1.1368770003318787,0.7091218000277877
LibriSpeech\train-clean\19\198\19-198-0006.flac,HER MOTHER WAS A WOMAN OF USEFUL PLAIN SENSE WITH A GOOD TEMPER AND WHAT IS MORE REMARKABLE WITH A GOOD CONSTITUTION SHE HAD THREE SONS BEFORE CATHERINE WAS BORN,"Her mother was a woman of useful plain sense, with a good temper, and what is more remarkable  with a good constitution.  She had three sons before Catherine was born.","Her mother was a woman of useful plain sense, with a good temper, and what is more remarkable  with a good constitution.  She had three sons before Catherine was born.",1.4808626994490623,0.6952061001211405
LibriSpeech\train-clean\19\198\19-198-0007.flac,WHERE THERE ARE HEADS AND ARMS AND LEGS ENOUGH FOR THE NUMBER BUT THE MORLANDS HAD LITTLE OTHER RIGHT TO THE WORD FOR THEY WERE IN GENERAL VERY PLAIN AND CATHERINE FOR MANY YEARS OF HER LIFE AS PLAIN AS ANY,"where there are heads and arms and legs enough for the number, but the more lends had little  other right to the word, for they were in general very plain, and Katherine for many years of her life  as plain as any.","where there are heads and arms and legs enough for the number, but the more lends had little  other right to the word, for they were in general very plain, and Katherine for many years of her life  as plain as any.",1.19194919988513,0.7418460994958878
LibriSpeech\train-clean\19\198\19-198-0008.flac,SHE HAD A THIN AWKWARD FIGURE,She had a thin awkward figure.,She had a thin awkward figure.,0.8747304994612932,0.5815473003312945
LibriSpeech\train-clean\19\198\19-198-0009.flac,DARK LANK HAIR AND STRONG FEATURES SO MUCH FOR HER PERSON AND NOT LESS UNPROPITIOUS FOR HEROISM SEEMED HER MIND SHE WAS FOND OF ALL BOY'S PLAYS AND GREATLY PREFERRED CRICKET,"dark, length, hair, and strong features, so much for her person.  And not less unprepicious for heroism seemed her mind.  She was fond of all boys, plays, and greatly preferred cricket.","dark, length, hair, and strong features, so much for her person.  And not less unprepicious for heroism seemed her mind.  She was fond of all boys, plays, and greatly preferred cricket.",1.132949000224471,0.7240506000816822
LibriSpeech\train-clean\19\198\19-198-0010.flac,NOT MERELY TO DOLLS BUT TO THE MORE HEROIC ENJOYMENTS OF INFANCY NURSING A DORMOUSE FEEDING A CANARY BIRD OR WATERING A ROSE BUSH INDEED SHE HAD NO TASTE FOR A GARDEN,"not merely to dolls, but to the more heroic enjoyment of infancy.  Nursing a door mouse, feeding a canary bird, or watering a rose bush.  Indeed, she had no taste for a garden.","not merely to dolls, but to the more heroic enjoyment of infancy.  Nursing a door mouse, feeding a canary bird, or watering a rose bush.  Indeed, she had no taste for a garden.",1.3623195001855493,0.7286507999524474
LibriSpeech\train-clean\19\198\19-198-0011.flac,AND IF SHE GATHERED FLOWERS AT ALL IT WAS CHIEFLY FOR THE PLEASURE OF MISCHIEF AT LEAST SO IT WAS CONJECTURED FROM HER ALWAYS PREFERRING THOSE WHICH SHE WAS FORBIDDEN TO TAKE SUCH WERE HER PROPENSITIES,"And if she gathered flowers at all, it was chiefly for the pleasure of mischief.  At least, so it was conjectured from her always preferring those which she was forbidden to take.  Such were her propensities.","And if she gathered flowers at all, it was chiefly for the pleasure of mischief.  At least so it was conjectured from her always preferring those which she was forbidden to take.  Such were her propensities.",1.0980909001082182,0.7563088992610574
LibriSpeech\train-clean\19\198\19-198-0012.flac,HER ABILITIES WERE QUITE AS EXTRAORDINARY SHE NEVER COULD LEARN OR UNDERSTAND ANYTHING BEFORE SHE WAS TAUGHT AND SOMETIMES NOT EVEN THEN FOR SHE WAS OFTEN INATTENTIVE AND OCCASIONALLY STUPID,"Her abilities were quite as extraordinary.  She never could learn or understand anything before she was taught, and sometimes not even  then, for she was often inattentive and occasionally stupid.","Her abilities were quite as extraordinary.  She never could learn or understand anything before she was taught, and sometimes not even  then.  She was often inattentive and occasionally stupid.",1.1011892994865775,0.943477900698781
LibriSpeech\train-clean\19\198\19-198-0013.flac,HER MOTHER WAS THREE MONTHS IN TEACHING HER ONLY TO REPEAT THE BEGGAR'S PETITION AND AFTER ALL HER NEXT SISTER SALLY COULD SAY IT BETTER THAN SHE DID NOT THAT CATHERINE WAS ALWAYS STUPID BY NO MEANS,"Her mother was three months in teaching her only to repeat the beggar's petition, and after  all her next sister, Sally could say it better than she did.  Not that Katherine was always stupid, by no means.","Her mother was three months in teaching her only to repeat the beggar's petition.  And after all her next sister, Sally, could say it better than she did.  Not that Katherine was always stupid.  By no means.",1.3127863993868232,0.9567590998485684
LibriSpeech\train-clean\19\198\19-198-0014.flac,SHE LEARNT THE FABLE OF THE HARE AND MANY FRIENDS AS QUICKLY AS ANY GIRL IN ENGLAND HER MOTHER WISHED HER TO LEARN MUSIC AND CATHERINE WAS SURE SHE SHOULD LIKE IT FOR SHE WAS VERY FOND OF TINKLING THE KEYS OF THE OLD FORLORN SPINNET,"She learnt the fable of the hair and many friends as quickly as any girl in England.  Her mother wished her to learn music, and Katherine was sure she should like it.  For she was very fond of tinkling the keys of the old Forlorn Spinette.","She learned to the fable of the hair and many friends as quickly as any girl in England.  Her mother wished her to learn music, and Katherine was sure she should like it.  For she was very fond of tinkling the keys of the old Forlorn Spinette.",1.1496799001470208,0.7899901000782847
LibriSpeech\train-clean\19\198\19-198-0015.flac,SO AT EIGHT YEARS OLD SHE BEGAN SHE LEARNT A YEAR AND COULD NOT BEAR IT AND MISSUS MORLAND WHO DID NOT INSIST ON HER DAUGHTERS BEING ACCOMPLISHED IN SPITE OF INCAPACITY OR DISTASTE ALLOWED HER TO LEAVE OFF,"So, at eight years old, she began.  She learned a year and could not bear it.  And Mrs. Marland, who did not insist on her daughter's being accomplished in spite of  incapacity or distaste, allowed her to leave off.","So, at eight years old, she began.  She learned a year and could not bear it.  And Mrs. Marland, who did not insist on her daughter's being accomplished in spite of  incapacity or distaste, allowed her to leave off.",1.7065973998978734,0.7626339001581073
LibriSpeech\train-clean\19\198\19-198-0016.flac,FRENCH BY HER MOTHER HER PROFICIENCY IN EITHER WAS NOT REMARKABLE AND SHE SHIRKED HER LESSONS IN BOTH WHENEVER SHE COULD WHAT A STRANGE UNACCOUNTABLE CHARACTER FOR WITH ALL THESE SYMPTOMS OF PROFLIGACY AT TEN YEARS OLD,"French by her mother. Her proficiency in either was not remarkable, and she shirked  her lessons in both whenever she could. What has strange, unaccountable character? For  with all these symptoms of profligacy at 10 years old.","French by her mother. Her proficiency in either was not remarkable, and she shirked  her lessons in both whenever she could. What has strange, unaccountable character? For  with all these symptoms of profligacy at 10 years old.",1.5254142004996538,0.7284770999103785
LibriSpeech\train-clean\19\198\19-198-0017.flac,HATED CONFINEMENT AND CLEANLINESS AND LOVED NOTHING SO WELL IN THE WORLD AS ROLLING DOWN THE GREEN SLOPE AT THE BACK OF THE HOUSE SUCH WAS CATHERINE MORLAND AT TEN AT FIFTEEN APPEARANCES WERE MENDING,"hated confinement and cleanliness, and loved nothing so well in the world as rolling down the green slope at the back of the house.  Such was Katherine Moreland at 10. At 15 appearances were mending.","hated confinement and cleanliness, and loved nothing so well in the world as rolling down the green slope at the back of the house.  Such was Katherine Moreland at 10. At 15, appearances were mending.",1.15505660045892,0.6831228993833065
LibriSpeech\train-clean\19\198\19-198-0018.flac,SHE BEGAN TO CURL HER HAIR AND LONG FOR BALLS HER COMPLEXION IMPROVED HER FEATURES WERE SOFTENED BY PLUMPNESS AND COLOUR HER EYES GAINED MORE ANIMATION AND HER FIGURE MORE CONSEQUENCE,She began to curl her hair and long for balls.  Her complexion improved.  Her features were softened by plumpness and color.  Her eyes gained more animation and her figure more consequence.,She began to curl her hair and long for balls.  Her complexion improved.  Her features were softened by plumpness and color.  Her eyes gained more animation and her figure more consequence.,1.3022521995007992,0.6881523998454213
LibriSpeech\train-clean\19\198\19-198-0019.flac,HER LOVE OF DIRT GAVE WAY TO AN INCLINATION FOR FINERY AND SHE GREW CLEAN AS SHE GREW SMART SHE HAD NOW THE PLEASURE OF SOMETIMES HEARING HER FATHER AND MOTHER REMARK ON HER PERSONAL IMPROVEMENT,"Her love of dirt gave way to an inclination for finery, and she grew clean as she grew smart.  She had now the pleasure of sometimes hearing her father and mother remark on her personal improvement.","Her love of dirt gave way to an inclination for finery, and she grew clean as she grew smart.  She had now the pleasure of sometimes hearing her father and mother remark on her personal improvement.",1.2712187999859452,0.6850109994411469
